"","playerid","Name","Season","Age","O-Swing_pct","Z-Swing_pct","Clutch","Pull_pct","wRC_plus","POS","bats"
"1",13611,"Mookie Betts","2","28Younger",19.8,57,-0.15,47.2,185,"OF","R"
"2",10155,"Mike Trout","2","28Younger",21.8,59.1,-2.3,40.2,188,"OF","R"
"3",11477,"Christian Yelich","3","28Younger",30.6,71.2,0.49,39.3,174,"OF","L"
"4",10155,"Mike Trout","1","28Younger",19.7,61.5,-1.04,40.2,180,"OF","R"
"5",10155,"Mike Trout","3","28Younger",20.5,61.2,-1.17,42.4,177,"OF","R"
"6",4314,"Joey Votto","1","28Older",15.8,71.4,-0.8,38.6,163,"IF","L"
"7",11477,"Christian Yelich","2","28Younger",27.7,64.6,-0.12,34.9,167,"OF","L"
"8",17678,"Alex Bregman","3","28Younger",18.8,58.8,-1.11,45.3,167,"IF","R"
"9",2434,"Nelson Cruz","3","28Older",30.5,72,-0.39,41.7,164,"OF","R"
"10",15998,"Cody Bellinger","3","28Younger",26.8,70.4,-0.73,47.9,161,"OF","L"
"11",7859,"Charlie Blackmon","1","28Older",30.2,64.7,-0.13,43.5,142,"OF","L"
"12",12861,"Anthony Rendon","3","28Older",23.8,70.1,0.53,42.1,155,"IF","R"
"13",5361,"Freddie Freeman","1","28Younger",32.7,84.2,-0.13,38.6,149,"IF","L"
"14",5417,"Jose Altuve","1","28Younger",33.1,67.8,-0.56,40.8,160,"IF","R"
"15",12856,"George Springer","3","28Older",22.8,72.1,-0.57,40.3,155,"OF","R"
"16",9218,"Paul Goldschmidt","1","28Older",24.4,62.1,-1.81,39.5,142,"IF","R"
"17",2967,"Tommy Pham","1","28Older",18.9,59.9,-0.1,36.7,149,"OF","R"
"18",13510,"Jose Ramirez","1","28Younger",25.4,66.6,-2.57,46.3,146,"IF","B"
"19",17678,"Alex Bregman","2","28Younger",20,60.5,1.48,48.4,157,"IF","R"
"20",9777,"Nolan Arenado","1","28Younger",30.6,70.9,1.53,37.7,130,"IF","R"
"21",12861,"Anthony Rendon","1","28Younger",21,63,-0.69,40.7,141,"IF","R"
"22",9777,"Nolan Arenado","3","28Younger",37.9,73.3,0.37,42.5,130,"IF","R"
"23",13510,"Jose Ramirez","2","28Younger",22.3,62.3,-1.56,50,147,"IF","B"
"24",9777,"Nolan Arenado","2","28Younger",33.2,73.3,-0.36,39.8,133,"IF","R"
"25",9218,"Paul Goldschmidt","2","28Older",28.8,62.4,0.02,37.9,145,"IF","R"
"26",3473,"Anthony Rizzo","3","28Older",33.8,65.3,1.07,42.9,140,"IF","L"
"27",12161,"Xander Bogaerts","3","28Younger",29.4,57.7,1.36,42.6,141,"IF","R"
"28",10324,"Marcell Ozuna","1","28Younger",33.1,73.1,-0.05,38.6,143,"OF","R"
"29",7859,"Charlie Blackmon","3","28Older",33.3,70.8,1.21,42.8,127,"OF","L"
"30",5361,"Freddie Freeman","3","28Older",32.9,82.6,0.75,40.5,137,"IF","L"
"31",2434,"Nelson Cruz","1","28Older",29.6,71.4,0.25,41.8,146,"OF","R"
"32",12564,"Trevor Story","2","28Younger",32.2,74.6,-0.47,43.3,128,"IF","R"
"33",12861,"Anthony Rendon","2","28Younger",28.9,70.1,0.12,40.2,140,"IF","R"
"34",12552,"Eugenio Suarez","3","28Younger",26.6,68.6,-1.07,52,130,"IF","R"
"35",13611,"Mookie Betts","3","28Younger",21.4,61.5,1,43.6,135,"OF","R"
"36",12564,"Trevor Story","3","28Younger",31.5,72,-0.71,39.6,122,"IF","R"
"37",15998,"Cody Bellinger","1","28Younger",27.4,67.4,1.02,42.4,138,"OF","L"
"38",3473,"Anthony Rizzo","1","28Younger",30.4,66.8,1.19,44.9,134,"IF","L"
"39",2396,"Carlos Santana","3","28Older",21.2,66.2,0.31,45.6,138,"IF","B"
"40",13145,"Josh Bell","3","28Younger",30.2,77.8,-0.12,42.5,135,"IF","B"
"41",5361,"Freddie Freeman","2","28Younger",34.5,85,-0.53,43.1,136,"IF","L"
"42",15676,"Jose Abreu","1","28Older",33,67.7,-0.26,38.7,139,"IF","R"
"43",11493,"Manny Machado","2","28Younger",32.2,73.5,0.22,38.1,141,"IF","R"
"44",12552,"Eugenio Suarez","2","28Younger",25.9,70,0.2,42.7,135,"IF","R"
"45",3516,"Eric Hosmer","1","28Younger",30,69.2,-0.83,31.3,135,"IF","L"
"46",12856,"George Springer","1","28Younger",23.7,70.5,1.22,40.8,140,"OF","R"
"47",9874,"DJ LeMahieu","3","28Older",30.2,65.8,0.34,27.9,136,"IF","R"
"48",5417,"Jose Altuve","3","28Older",32.7,68.1,-0.42,50,137,"IF","R"
"49",12161,"Xander Bogaerts","2","28Younger",30.1,61.3,1.63,43.4,133,"IF","R"
"50",15149,"Trey Mancini","3","28Younger",33.4,69.7,-1.51,35.8,132,"OF","R"
"51",4314,"Joey Votto","2","28Older",16.4,68.6,0.36,35.3,130,"IF","L"
"52",12916,"Francisco Lindor","2","28Younger",32.7,67.9,0.12,40.4,132,"IF","B"
"53",7859,"Charlie Blackmon","2","28Older",31.8,66.6,-1.12,40.8,117,"OF","L"
"54",12979,"Javier Baez","2","28Younger",45.5,78,-0.25,40.5,131,"IF","R"
"55",9112,"Khris Davis","2","28Older",27.8,78.4,0.74,35.8,136,"OF","R"
"56",19198,"Yuli Gurriel","3","28Older",35.4,69.3,-0.13,45.3,131,"IF","R"
"57",5417,"Jose Altuve","2","28Younger",33.3,68.7,-0.87,41.4,135,"IF","R"
"58",15172,"Tim Anderson","3","28Younger",45.2,77.5,0.56,32.7,128,"IF","R"
"59",11737,"Nick Castellanos","2","28Younger",38.6,78.8,0.69,44.9,129,"OF","R"
"60",9112,"Khris Davis","1","28Older",26.6,75.2,0.29,34.4,130,"OF","R"
"61",2434,"Nelson Cruz","2","28Older",31.9,69.7,1.24,40.8,133,"OF","R"
"62",9077,"Lorenzo Cain","2","28Older",24.9,64.7,0.19,29.8,125,"OF","R"
"63",3473,"Anthony Rizzo","2","28Younger",32.8,67.9,-0.43,45.3,126,"IF","L"
"64",2967,"Tommy Pham","2","28Older",23,61.2,-0.99,37.8,130,"OF","R"
"65",11737,"Nick Castellanos","3","28Younger",40.9,76.3,-0.16,40.8,122,"OF","R"
"66",17901,"Andrew Benintendi","2","28Younger",28.4,70.8,1.74,38.4,123,"OF","L"
"67",12552,"Eugenio Suarez","1","28Younger",24.2,65.5,0.79,42.7,116,"IF","R"
"68",3174,"Shin-Soo Choo","2","28Older",23.9,62.4,-0.55,38.1,117,"OF","L"
"69",12144,"Max Kepler","3","28Younger",30.6,75.8,0.55,53.4,122,"OF","L"
"70",3174,"Shin-Soo Choo","3","28Older",22.7,65.9,1.45,40.1,112,"OF","L"
"71",11739,"J.T. Realmuto","2","28Younger",29.9,67.8,-0.11,45.1,127,"IF","R"
"72",12916,"Francisco Lindor","1","28Younger",30.7,68,1.05,40.5,116,"IF","B"
"73",17678,"Alex Bregman","1","28Younger",25.8,66.4,-0.43,42.6,123,"IF","R"
"74",2396,"Carlos Santana","1","28Older",21.4,62.1,-0.65,51.1,115,"IF","B"
"75",12155,"Eddie Rosario","1","28Younger",37.6,76.1,-0.68,39.3,117,"OF","L"
"76",11281,"Whit Merrifield","2","28Older",32.8,67.7,0.48,33.7,119,"IF","R"
"77",12916,"Francisco Lindor","3","28Younger",35.4,73.7,-0.08,44.6,118,"IF","B"
"78",15149,"Trey Mancini","1","28Younger",34.9,72.1,-0.41,37.5,116,"OF","R"
"79",2967,"Tommy Pham","3","28Older",19.9,63,-0.93,38.7,123,"OF","R"
"80",4892,"Mike Moustakas","3","28Older",33.9,74.1,-0.58,40.7,113,"IF","L"
"81",11477,"Christian Yelich","1","28Younger",25,64.1,0.54,33.3,117,"OF","L"
"82",12979,"Javier Baez","3","28Younger",44.1,74.3,-0.5,36.1,112,"IF","R"
"83",9077,"Lorenzo Cain","1","28Older",30.4,71,0.11,31.1,115,"OF","R"
"84",10556,"Cesar Hernandez","1","28Younger",21.6,61.4,0,35.8,111,"IF","B"
"85",9218,"Paul Goldschmidt","3","28Older",31.4,67.7,0.96,38,117,"IF","R"
"86",15998,"Cody Bellinger","2","28Younger",28.3,66.9,-2.3,45.2,120,"OF","L"
"87",4892,"Mike Moustakas","1","28Younger",40.3,76.2,-0.1,43.7,113,"IF","L"
"88",19198,"Yuli Gurriel","1","28Older",32.8,67.9,1.08,41.4,118,"IF","R"
"89",9927,"Brett Gardner","3","28Older",24.8,56,-1.1,46.4,115,"OF","L"
"90",15676,"Jose Abreu","3","28Older",37.3,67.1,0.4,44.3,115,"IF","R"
"91",9874,"DJ LeMahieu","1","28Younger",23.8,59.3,-0.16,21.6,94,"IF","R"
"92",11737,"Nick Castellanos","1","28Younger",34.6,73.2,1.01,38.6,111,"OF","R"
"93",11281,"Whit Merrifield","3","28Older",34.1,69.1,-0.79,36.6,110,"IF","R"
"94",12155,"Eddie Rosario","2","28Younger",42.8,78.5,0.44,43.4,114,"OF","L"
"95",12856,"George Springer","2","28Younger",25.5,68.5,0.25,39.8,119,"OF","R"
"96",11739,"J.T. Realmuto","3","28Younger",34.8,73.1,-0.62,44.2,107,"IF","R"
"97",3174,"Shin-Soo Choo","1","28Older",21.6,65.1,-1.22,42.8,102,"OF","L"
"98",13611,"Mookie Betts","1","28Younger",22,53.8,1.78,44.4,107,"OF","R"
"99",13145,"Josh Bell","1","28Younger",26.7,66,-0.21,41.5,108,"IF","B"
"100",4962,"Asdrubal Cabrera","1","28Older",28.4,70,-0.15,46.3,112,"IF","B"
"101",15676,"Jose Abreu","2","28Older",37.2,65.9,-0.12,39.1,114,"IF","R"
"102",9927,"Brett Gardner","1","28Older",21.2,53.1,0.75,37.3,110,"OF","L"
"103",10324,"Marcell Ozuna","3","28Younger",30,69.2,-0.45,49.5,110,"OF","R"
"104",13145,"Josh Bell","2","28Younger",26.7,67.8,0.59,33.8,111,"IF","B"
"105",11493,"Manny Machado","3","28Younger",31.4,69.8,-0.68,36.8,109,"IF","R"
"106",13510,"Jose Ramirez","3","28Younger",26.4,64.2,-0.02,48.8,108,"IF","B"
"107",6368,"Adam Jones","1","28Older",44.1,78.9,-1.44,41.4,106,"OF","R"
"108",5933,"Jean Segura","1","28Younger",33.8,66.1,0.02,29.9,111,"IF","R"
"109",2396,"Carlos Santana","2","28Older",24.1,65.5,-1.33,48,108,"IF","B"
"110",11281,"Whit Merrifield","1","28Younger",34.3,68.8,0.7,33.5,105,"IF","R"
"111",17901,"Andrew Benintendi","1","28Younger",29,64.5,-0.47,34.3,102,"OF","L"
"112",11739,"J.T. Realmuto","1","28Younger",32.4,65.4,-1.08,46.6,107,"IF","R"
"113",4314,"Joey Votto","3","28Older",21,68.1,-1.62,36,98,"IF","L"
"114",4962,"Asdrubal Cabrera","2","28Older",32.3,71.8,-0.36,47.8,111,"IF","B"
"115",4962,"Asdrubal Cabrera","3","28Older",28.8,67.1,-0.13,50.1,98,"IF","B"
"116",11200,"Kole Calhoun","3","28Older",29,75.2,-0.06,50.5,105,"OF","L"
"117",17901,"Andrew Benintendi","3","28Younger",32.9,78.6,-1.35,35.2,100,"OF","L"
"118",4892,"Mike Moustakas","2","28Older",37,73.6,0.94,42.6,105,"IF","L"
"119",12155,"Eddie Rosario","3","28Younger",46.3,80.4,0.87,48.8,104,"OF","L"
"120",11493,"Manny Machado","1","28Younger",32.7,71.2,1.44,41.6,102,"IF","R"
"121",10324,"Marcell Ozuna","2","28Younger",32.5,72.8,0.01,42.2,107,"OF","R"
"122",5933,"Jean Segura","2","28Younger",34.6,66,0.87,35.7,109,"IF","R"
"123",12979,"Javier Baez","1","28Younger",45.1,72.6,-0.59,39.9,98,"IF","R"
"124",12282,"Rougned Odor","2","28Younger",35.4,64.6,-0.62,46.6,95,"IF","L"
"125",19198,"Yuli Gurriel","2","28Older",37.1,69.2,-0.7,41.2,107,"IF","R"
"126",12564,"Trevor Story","1","28Younger",30.9,69,-0.29,38.3,82,"IF","R"
"127",9874,"DJ LeMahieu","2","28Older",26,60.1,1.11,29.8,87,"IF","R"
"128",9368,"Evan Longoria","3","28Older",32.6,66.6,1.45,39.3,100,"IF","R"
"129",12161,"Xander Bogaerts","1","28Younger",32.8,53,-0.47,40.8,95,"IF","R"
"130",10556,"Cesar Hernandez","2","28Younger",20.3,58.7,0.49,40.3,100,"IF","B"
"131",5209,"Alex Gordon","3","28Older",30.1,72.5,1.78,40.6,95,"OF","L"
"132",18314,"Dansby Swanson","3","28Younger",27.9,70.4,-0.84,41.6,91,"IF","R"
"133",12144,"Max Kepler","2","28Younger",24.9,65.2,-0.69,43.1,98,"OF","L"
"134",6368,"Adam Jones","2","28Older",41.9,73.5,0.01,39.9,98,"OF","R"
"135",10556,"Cesar Hernandez","3","28Older",29.8,65.4,-0.36,38,91,"IF","B"
"136",5933,"Jean Segura","3","28Older",37.2,61,1.58,34.5,91,"IF","R"
"137",12144,"Max Kepler","1","28Younger",28.5,60.7,1.1,43.9,94,"OF","L"
"138",11200,"Kole Calhoun","1","28Older",29.4,72.1,1.7,44.7,97,"OF","L"
"139",12984,"Jackie Bradley Jr.","3","28Older",30,71.5,-1.12,42.2,89,"OF","L"
"140",11602,"Yolmer Sanchez","1","28Younger",34.7,67.8,-0.53,33.3,95,"IF","B"
"141",12984,"Jackie Bradley Jr.","1","28Younger",30,67.9,0.88,41.9,89,"OF","L"
"142",9368,"Evan Longoria","1","28Older",34.9,69.4,-0.29,42.8,97,"IF","R"
"143",12984,"Jackie Bradley Jr.","2","28Younger",27.8,71.4,-0.26,45.2,90,"OF","L"
"144",3516,"Eric Hosmer","2","28Younger",33.1,70.7,0.89,31.8,95,"IF","L"
"145",3516,"Eric Hosmer","3","28Older",35.9,72.8,-0.23,33,92,"IF","L"
"146",6368,"Adam Jones","3","28Older",41.4,72.9,0.04,43.9,87,"OF","R"
"147",15149,"Trey Mancini","2","28Younger",34.4,70.4,-1.7,38,93,"OF","R"
"148",6609,"Freddy Galvis","3","28Older",40.2,73.2,-1.18,42.9,89,"IF","B"
"149",5343,"Brandon Crawford","2","28Older",32.6,77.8,0.73,33.1,93,"IF","L"
"150",9927,"Brett Gardner","2","28Older",21.7,53.4,1.25,36.1,91,"OF","L"
"151",5209,"Alex Gordon","2","28Older",29.7,67,-0.07,40.2,89,"OF","L"
"152",12434,"Kevin Pillar","1","28Younger",40.1,67,-0.71,40.2,86,"OF","R"
"153",9077,"Lorenzo Cain","3","28Older",28,66.6,-1.52,31.5,83,"OF","R"
"154",12434,"Kevin Pillar","2","28Older",43.5,67.9,0.48,40.7,88,"OF","R"
"155",12282,"Rougned Odor","3","28Younger",33.1,67.6,0.04,47.4,77,"IF","L"
"156",5343,"Brandon Crawford","1","28Older",31.1,76.6,-0.94,38.9,86,"IF","L"
"157",12434,"Kevin Pillar","3","28Older",48.8,74.6,-0.1,48,84,"OF","R"
"158",6609,"Freddy Galvis","1","28Younger",33.1,67,-1.1,36.6,79,"IF","B"
"159",11602,"Yolmer Sanchez","2","28Younger",34.3,64.3,0.44,37.3,87,"IF","B"
"160",9368,"Evan Longoria","2","28Older",33.1,68.3,-0.78,41.9,86,"IF","R"
"161",15172,"Tim Anderson","2","28Younger",40.3,72.6,-1.08,44.4,85,"IF","R"
"162",6609,"Freddy Galvis","2","28Younger",36.8,68.7,1.53,38.1,85,"IF","B"
"163",18314,"Dansby Swanson","2","28Younger",36.5,68.7,0.85,42.7,79,"IF","R"
"164",9112,"Khris Davis","3","28Older",30.7,82.2,0.23,40.4,81,"OF","R"
"165",15172,"Tim Anderson","1","28Younger",41.3,70.8,0.08,42.8,79,"IF","R"
"166",11200,"Kole Calhoun","2","28Older",28.2,76.1,0.52,42.6,77,"OF","L"
"167",11602,"Yolmer Sanchez","3","28Younger",33.2,67.8,-1.15,31.4,73,"IF","B"
"168",5343,"Brandon Crawford","3","28Older",32,78.1,0.08,38.8,73,"IF","L"
"169",18314,"Dansby Swanson","1","28Younger",27.2,66.6,1.64,42.5,63,"IF","R"
"170",12282,"Rougned Odor","1","28Younger",38.3,73.6,-1.34,50.3,56,"IF","L"
"171",5209,"Alex Gordon","1","28Older",27.3,70.4,0.78,43,62,"OF","L"
